Faction,Metawatch win %,Statcheck win %,Statcheck games played
Adepta Sororitas,0.45,0.41,196
Adeptus Astartes,0.47,0.47,862
Adeptus Custodes,0.56,0.52,533
Adeptus Mechanius,0.44,0.49,145
Astra Militarum,0.51,0.51,353
Asuryani,0.50,0.51,359
Blood Angels,0.45,0.42,233
Chaos Daemons,0.54,0.56,344
Chaos Knights,0.53,0.45,285
Chaos Space Marines,0.46,0.42,357
Dark Angels,0.57,0.60,239
Death Guard,0.48,0.46,188
Deathwatch,0.36,0.31,13
Drukhari,0.48,0.43,181
Genestealer Cults,0.58,0.61,159
Grey Knights,0.50,0.51,213
Harlequins,0.55,0.49,107
Imperial Knights,0.48,0.50,263
Leagues of Votann,0.50,0.42,312
Necrons,0.49,0.47,267
Orks,0.53,0.50,327
Space Wolves,0.49,0.50,147
T'au Empire,0.50,0.46,324
Thousand Sons,0.46,0.44,131
Tyranids,0.50,0.40,286
Ynnari,0.55,0.56,71